NAMESPACE         NAME                                                READY   STATUS                       RESTARTS          AGE     IP                NODE       NOMINATED NODE   READINESS GATES
platform          platform-api-d5757bdd7-6h9bv                        1/1     Running                      0                 96m     10.42.16.194      staging    <none>           <none>
platform          platform-api-d5757bdd7-pvlcw                        1/1     Running                      0                 97m     10.42.173.181     staging2   <none>           <none>
platform          platform-cluster-state-backup-29619540-xsw86        0/1     CreateContainerConfigError   0                 132m    10.42.171.80      worker     <none>           <none>
platform          platform-etcd-snapshot-upload-29619510-w7bkw        0/1     Pending                      0                 8h      <none>            <none>     <none>           <none>
platform          platform-hostpath-snapshot-upload-29619570-gjdq6    0/1     Pending                      0                 7h36m   <none>            <none>     <none>           <none>
platform          platform-pg-backup-29619525-n9mnp                   0/1     CreateContainerConfigError   0                 132m    10.42.171.92      worker     <none>           <none>
platform          platform-suspended-7f9ffd94-99vmk                   1/1     Running                      0                 14h     10.42.173.165     staging2   <none>           <none>
platform          postgres-0                                          1/1     Running                      0                 12h     10.42.173.175     staging2   <none>           <none>
platform          redis-55f8cb74dd-hwtwj                              1/1     Running                      0                 14h     10.42.173.163     staging2   <none>           <none>
tigera-operator   tigera-operator-8458958b4d-25qw4                    1/1     Running                      1 (138m ago)      12h     100.120.95.182    staging    <none>           <none>
