NAMESPACE         NAME                                                READY   STATUS             RESTARTS        AGE   IP                NODE       NOMINATED NODE   READINESS GATES
platform          client-panel-6f4bc5b5c-slgfb                        1/1     Running            0               12m   10.42.173.140     staging2   <none>           <none>
platform          cm-acme-http-solver-7mm44                           1/1     Running            0               11m   10.42.44.143      staging3   <none>           <none>
platform          cm-acme-http-solver-mvr58                           1/1     Running            0               13m   10.42.44.140      staging3   <none>           <none>
platform          dex-6bcb4cb6d7-8qt4q                                1/1     Running            0               12m   10.42.173.143     staging2   <none>           <none>
platform          dex-6bcb4cb6d7-zpqtx                                1/1     Running            0               17m   10.42.178.135     staging1   <none>           <none>
platform          oauth2-proxy-549dbfd9b5-4g5hg                       0/1     CrashLoopBackOff   8 (52s ago)     17m   10.42.178.87      staging1   <none>           <none>
platform          oauth2-proxy-549dbfd9b5-pmxnc                       0/1     CrashLoopBackOff   7 (117s ago)    12m   10.42.173.139     staging2   <none>           <none>
platform          oauth2-proxy-6f7884bc5b-bqvl5                       0/1     CrashLoopBackOff   8 (48s ago)     17m   10.42.178.72      staging1   <none>           <none>
platform          platform-api-d5757bdd7-fhrb7                        1/1     Running            1 (14m ago)     17m   10.42.178.96      staging1   <none>           <none>
platform          platform-api-d5757bdd7-gwjh6                        1/1     Running            0               12m   10.42.173.144     staging2   <none>           <none>
platform          platform-suspended-7f9ffd94-m8v9w                   1/1     Running            0               17m   10.42.178.88      staging1   <none>           <none>
platform          postgres-0                                          1/1     Running            0               17m   10.42.178.141     staging1   <none>           <none>
platform          redis-55f8cb74dd-mz2nh                              1/1     Running            0               17m   10.42.178.89      staging1   <none>           <none>
tigera-operator   tigera-operator-8458958b4d-gpnwg                    1/1     Running            0               25m   100.120.108.52    staging1   <none>           <none>
